city,year,cityLat,cityLon,climate_cluster
临汾,2010,36.0765501,111.4974966,2
临汾,2011,36.0765501,111.4974966,1
临汾,2012,36.0765501,111.4974966,2
临汾,2013,36.0765501,111.4974966,2
临汾,2014,36.0765501,111.4974966,2
临汾,2015,36.0765501,111.4974966,2
临汾,2016,36.0765501,111.4974966,2
临汾,2017,36.0765501,111.4974966,2
临汾,2018,36.0765501,111.4974966,2
临汾,2019,36.0765501,111.4974966,2
临汾,2020,36.0765501,111.4974966,2
临汾,2021,36.0765501,111.4974966,2
临汾,2022,36.0765501,111.4974966,2
临汾,2023,36.0765501,111.4974966,2
临汾,2024,36.0765501,111.4974966,2
兰州,2010,36.0298924,103.8119198,1
兰州,2011,36.0298924,103.8119198,1
兰州,2012,36.0298924,103.8119198,1
兰州,2013,36.0298924,103.8119198,1
兰州,2014,36.0298924,103.8119198,1
兰州,2015,36.0298924,103.8119198,1
兰州,2016,36.0298924,103.8119198,1
兰州,2017,36.0298924,103.8119198,1
兰州,2018,36.0298924,103.8119198,1
兰州,2019,36.0298924,103.8119198,1
兰州,2020,36.0298924,103.8119198,1
兰州,2021,36.0298924,103.8119198,1
兰州,2022,36.0298924,103.8119198,1
兰州,2023,36.0298924,103.8119198,1
兰州,2024,36.0298924,103.8119198,1
南阳,2010,33.232235,111.6806623,2
南阳,2011,33.232235,111.6806623,2
南阳,2012,33.232235,111.6806623,2
南阳,2013,33.232235,111.6806623,2
南阳,2014,33.232235,111.6806623,0
南阳,2015,33.232235,111.6806623,0
南阳,2016,33.232235,111.6806623,0
南阳,2017,33.232235,111.6806623,0
南阳,2018,33.232235,111.6806623,0
南阳,2019,33.232235,111.6806623,0
南阳,2020,33.232235,111.6806623,0
南阳,2021,33.232235,111.6806623,0
南阳,2022,33.232235,111.6806623,0
南阳,2023,33.232235,111.6806623,0
南阳,2024,33.232235,111.6806623,0
周口,2010,33.7497954,114.8570606,2
周口,2011,33.7497954,114.8570606,2
周口,2012,33.7497954,114.8570606,2
周口,2013,33.7497954,114.8570606,2
周口,2014,33.7497954,114.8570606,2
周口,2015,33.7497954,114.8570606,2
周口,2016,33.7497954,114.8570606,2
周口,2017,33.7497954,114.8570606,2
周口,2018,33.7497954,114.8570606,2
周口,2019,33.7497954,114.8570606,2
周口,2020,33.7497954,114.8570606,2
周口,2021,33.7497954,114.8570606,2
周口,2022,33.7497954,114.8570606,2
周口,2023,33.7497954,114.8570606,2
周口,2024,33.7497954,114.8570606,2
商丘,2010,34.3939609,115.6736311,0
商丘,2011,34.3939609,115.6736311,2
商丘,2012,34.3939609,115.6736311,2
商丘,2013,34.3939609,115.6736311,0
商丘,2014,34.3939609,115.6736311,0
商丘,2015,34.3939609,115.6736311,0
商丘,2016,34.3939609,115.6736311,0
商丘,2017,34.3939609,115.6736311,0
商丘,2018,34.3939609,115.6736311,0
商丘,2019,34.3939609,115.6736311,0
商丘,2020,34.3939609,115.6736311,0
商丘,2021,34.3939609,115.6736311,0
商丘,2022,34.3939609,115.6736311,0
商丘,2023,34.3939609,115.6736311,0
商丘,2024,34.3939609,115.6736311,0
喀什,2010,43.8913493,87.5794152,1
喀什,2011,43.8913493,87.5794152,1
喀什,2012,43.8913493,87.5794152,1
喀什,2013,43.8913493,87.5794152,1
喀什,2014,43.8913493,87.5794152,1
喀什,2015,43.8913493,87.5794152,1
喀什,2016,43.8913493,87.5794152,1
喀什,2017,43.8913493,87.5794152,1
喀什,2018,43.8913493,87.5794152,1
喀什,2019,43.8913493,87.5794152,1
喀什,2020,43.8913493,87.5794152,1
喀什,2021,43.8913493,87.5794152,1
喀什,2022,43.8913493,87.5794152,1
喀什,2023,43.8913493,87.5794152,1
喀什,2024,43.8913493,87.5794152,1
天水,2010,34.5809749,105.7693249,1
天水,2011,34.5809749,105.7693249,1
天水,2012,34.5809749,105.7693249,1
天水,2013,34.5809749,105.7693249,1
天水,2014,34.5809749,105.7693249,1
天水,2015,34.5809749,105.7693249,1
天水,2016,34.5809749,105.7693249,1
天水,2017,34.5809749,105.7693249,1
天水,2018,34.5809749,105.7693249,1
天水,2019,34.5809749,105.7693249,1
天水,2020,34.5809749,105.7693249,1
天水,2021,34.5809749,105.7693249,1
天水,2022,34.5809749,105.7693249,1
天水,2023,34.5809749,105.7693249,1
天水,2024,34.5809749,105.7693249,1
太原,2010,37.6402408,112.5703086,1
太原,2011,37.6402408,112.5703086,1
太原,2012,37.6402408,112.5703086,1
太原,2013,37.6402408,112.5703086,1
太原,2014,37.6402408,112.5703086,1
太原,2015,37.6402408,112.5703086,1
太原,2016,37.6402408,112.5703086,1
太原,2017,37.6402408,112.5703086,1
太原,2018,37.6402408,112.5703086,1
太原,2019,37.6402408,112.5703086,1
太原,2020,37.6402408,112.5703086,1
太原,2021,37.6402408,112.5703086,1
太原,2022,37.6402408,112.5703086,1
太原,2023,37.6402408,112.5703086,1
太原,2024,37.6402408,112.5703086,1
